,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
59,223,True,51.49148474,false,-0.090220911,"Rodney Road , Walworth",16,24,8,False,3481,2010-07-20,
60,691,True,51.47946386,false,-0.195777222,"Erin Close, Walham Green",16,24,8,False,200184,2013-11-18,
61,251,True,51.518908,false,-0.079249,"Brushfield Street, Liverpool Street",16,34,18,False,1161,2010-07-21,
62,613,True,51.50403821,false,-0.217400093,"Woodstock Grove, Shepherd's Bush",17,24,7,False,200214,2013-09-26,
63,191,True,51.50311799,false,-0.153520935,"Hyde Park Corner, Hyde Park",17,36,19,False,1075,2010-07-17,
64,365,True,51.530344,false,-0.100168,"City Road, Angel",17,47,30,False,2690,2010-11-24,
65,260,True,51.5136846,false,-0.135580879,"Broadwick Street, Soho",18,18,0,False,3489,2010-07-21,
66,510,True,51.509303,false,-0.025996,"Westferry DLR, Limehouse",18,41,23,False,200238,,
67,546,True,51.517428,false,-0.107987,"New Fetter Lane, Holborn",19,21,2,False,200044,,
68,276,True,51.50930161,false,-0.084985356,"Lower Thames Street, Monument",19,24,5,False,1098,2010-07-21,
69,399,True,51.52261762,false,-0.071653961,"Brick Lane Market, Shoreditch",19,24,5,False,2687,2011-03-08,
70,320,True,51.49357351,false,-0.139956043,"Queen Mother Sports Centre, Victoria",19,26,7,False,1148,2010-07-23,
71,135,True,51.52326004,false,-0.104708922,"Clerkenwell Green, Clerkenwell",20,21,1,False,1053,2010-07-15,
72,17,True,51.5216612,false,-0.109006325,"Hatton Wall, Holborn",20,26,6,False,1008,2010-07-06,
73,625,True,51.47761941,false,-0.149551631,"Queen's Circus, Battersea Park",20,28,8,False,200190,2013-10-08,
74,73,True,51.52548,false,-0.089659871,"Old Street Station, St. Luke's",20,29,9,False,1064,2010-07-12,
75,675,True,51.46348914,false,-0.182126248,"Usk Road, Clapham Junction",20,30,10,False,200126,2013-11-01,
76,718,True,51.53571683,false,-0.060291813,"Ada Street, Hackney Central",20,45,25,False,300040,2013-11-20,
